icd_code,icd_version,comorbidity
I370,10,Valvular disease
I371,10,Valvular disease
I372,10,Valvular disease
I378,10,Valvular disease
I379,10,Valvular disease
I38,10,Valvular disease
I39,10,Valvular disease
Q23,10,Valvular disease
Q230,10,Valvular disease
Q231,10,Valvular disease
Q232,10,Valvular disease
Q233,10,Valvular disease
Z952,10,Valvular disease
Z953,10,Valvular disease
Z954,10,Valvular disease
4150,9,Pulmonary circulation disorders
41511,9,Pulmonary circulation disorders
41512,9,Pulmonary circulation disorders
41513,9,Pulmonary circulation disorders
41519,9,Pulmonary circulation disorders
4160,9,Pulmonary circulation disorders
4161,9,Pulmonary circulation disorders
4162,9,Pulmonary circulation disorders
4168,9,Pulmonary circulation disorders
4169,9,Pulmonary circulation disorders
4170,9,Pulmonary circulation disorders
4178,9,Pulmonary circulation disorders
4179,9,Pulmonary circulation disorders
I26,10,Pulmonary circulation disorders
I260,10,Pulmonary circulation disorders
I2601,10,Pulmonary circulation disorders
I2602,10,Pulmonary circulation disorders
I2609,10,Pulmonary circulation disorders
I269,10,Pulmonary circulation disorders
I2690,10,Pulmonary circulation disorders
I2692,10,Pulmonary circulation disorders
I2693,10,Pulmonary circulation disorders
I2694,10,Pulmonary circulation disorders
I2699,10,Pulmonary circulation disorders
I27,10,Pulmonary circulation disorders
I270,10,Pulmonary circulation disorders
I271,10,Pulmonary circulation disorders
I272,10,Pulmonary circulation disorders
I2720,10,Pulmonary circulation disorders
I2721,10,Pulmonary circulation disorders
I2722,10,Pulmonary circulation disorders
I2723,10,Pulmonary circulation disorders
I2724,10,Pulmonary circulation disorders
I2729,10,Pulmonary circulation disorders
I278,10,Pulmonary circulation disorders
I2781,10,Pulmonary circulation disorders
I2782,10,Pulmonary circulation disorders
I2783,10,Pulmonary circulation disorders
I2789,10,Pulmonary circulation disorders
I279,10,Pulmonary circulation disorders
I280,10,Pulmonary circulation disorders
I288,10,Pulmonary circulation disorders
I289,10,Pulmonary circulation disorders
0930,9,Peripheral vascular disorders
4373,9,Peripheral vascular disorders
4400,9,Peripheral vascular disorders
4401,9,Peripheral vascular disorders
44020,9,Peripheral vascular disorders
44021,9,Peripheral vascular disorders
44022,9,Peripheral vascular disorders
44023,9,Peripheral vascular disorders
44024,9,Peripheral vascular disorders
44029,9,Peripheral vascular disorders
44030,9,Peripheral vascular disorders
44031,9,Peripheral vascular disorders
44032,9,Peripheral vascular disorders
4404,9,Peripheral vascular disorders
4408,9,Peripheral vascular disorders
4409,9,Peripheral vascular disorders
44100,9,Peripheral vascular disorders
44101,9,Peripheral vascular disorders
44102,9,Peripheral vascular disorders
44103,9,Peripheral vascular disorders
4411,9,Peripheral vascular disorders
4412,9,Peripheral vascular disorders
4413,9,Peripheral vascular disorders
4414,9,Peripheral vascular disorders
4415,9,Peripheral vascular disorders
4416,9,Peripheral vascular disorders
4417,9,Peripheral vascular disorders
4419,9,Peripheral vascular disorders
4431,9,Peripheral vascular disorders
44321,9,Peripheral vascular disorders
44322,9,Peripheral vascular disorders
44323,9,Peripheral vascular disorders
44324,9,Peripheral vascular disorders
44329,9,Peripheral vascular disorders
44381,9,Peripheral vascular disorders
44382,9,Peripheral vascular disorders
44389,9,Peripheral vascular disorders
4439,9,Peripheral vascular disorders
4471,9,Peripheral vascular disorders
5571,9,Peripheral vascular disorders
5579,9,Peripheral vascular disorders
V434,9,Peripheral vascular disorders
I70,10,Peripheral vascular disorders
I700,10,Peripheral vascular disorders
I701,10,Peripheral vascular disorders
I702,10,Peripheral vascular disorders
I7020,10,Peripheral vascular disorders
I70201,10,Peripheral vascular disorders
I70202,10,Peripheral vascular disorders
I70203,10,Peripheral vascular disorders
I70208,10,Peripheral vascular disorders
I70209,10,Peripheral vascular disorders
I7021,10,Peripheral vascular disorders
I70211,10,Peripheral vascular disorders
I70212,10,Peripheral vascular disorders
I70213,10,Peripheral vascular disorders
I70218,10,Peripheral vascular disorders
I70219,10,Peripheral vascular disorders
I7022,10,Peripheral vascular disorders
I70221,10,Peripheral vascular disorders
I70222,10,Peripheral vascular disorders
I70223,10,Peripheral vascular disorders
I70228,10,Peripheral vascular disorders
I70229,10,Peripheral vascular disorders
I7023,10,Peripheral vascular disorders
I70231,10,Peripheral vascular disorders
I70232,10,Peripheral vascular disorders
I70233,10,Peripheral vascular disorders
I70234,10,Peripheral vascular disorders
I70235,10,Peripheral vascular disorders
I70238,10,Peripheral vascular disorders
I70239,10,Peripheral vascular disorders
I7024,10,Peripheral vascular disorders
I70241,10,Peripheral vascular disorders
I70242,10,Peripheral vascular disorders
I70243,10,Peripheral vascular disorders
I70244,10,Peripheral vascular disorders
I70245,10,Peripheral vascular disorders
I70248,10,Peripheral vascular disorders
I70249,10,Peripheral vascular disorders
I7025,10,Peripheral vascular disorders
I7026,10,Peripheral vascular disorders
I70261,10,Peripheral vascular disorders
I70262,10,Peripheral vascular disorders
I70263,10,Peripheral vascular disorders
I70268,10,Peripheral vascular disorders
I70269,10,Peripheral vascular disorders
I7029,10,Peripheral vascular disorders
I70291,10,Peripheral vascular disorders
I70292,10,Peripheral vascular disorders
I70293,10,Peripheral vascular disorders
I70298,10,Peripheral vascular disorders
I70299,10,Peripheral vascular disorders
I703,10,Peripheral vascular disorders
I7030,10,Peripheral vascular disorders
I70301,10,Peripheral vascular disorders
I70302,10,Peripheral vascular disorders
I70303,10,Peripheral vascular disorders
I70308,10,Peripheral vascular disorders
I70309,10,Peripheral vascular disorders
I7031,10,Peripheral vascular disorders
I70311,10,Peripheral vascular disorders
I70312,10,Peripheral vascular disorders
I70313,10,Peripheral vascular disorders
I70318,10,Peripheral vascular disorders
I70319,10,Peripheral vascular disorders
I7032,10,Peripheral vascular disorders
I70321,10,Peripheral vascular disorders
I70322,10,Peripheral vascular disorders
I70323,10,Peripheral vascular disorders
I70328,10,Peripheral vascular disorders
I70329,10,Peripheral vascular disorders
I7033,10,Peripheral vascular disorders
I70331,10,Peripheral vascular disorders
I70332,10,Peripheral vascular disorders
I70333,10,Peripheral vascular disorders
I70334,10,Peripheral vascular disorders
I70335,10,Peripheral vascular disorders
I70338,10,Peripheral vascular disorders
I70339,10,Peripheral vascular disorders
I7034,10,Peripheral vascular disorders
I740,10,Peripheral vascular disorders
I70341,10,Peripheral vascular disorders
I70342,10,Peripheral vascular disorders
I70343,10,Peripheral vascular disorders
I70344,10,Peripheral vascular disorders
I70345,10,Peripheral vascular disorders
I70348,10,Peripheral vascular disorders
I70349,10,Peripheral vascular disorders
I7035,10,Peripheral vascular disorders
I7036,10,Peripheral vascular disorders
I70361,10,Peripheral vascular disorders
I70362,10,Peripheral vascular disorders
I70363,10,Peripheral vascular disorders
I70368,10,Peripheral vascular disorders
I70369,10,Peripheral vascular disorders
I7039,10,Peripheral vascular disorders
I70391,10,Peripheral vascular disorders
I70392,10,Peripheral vascular disorders
I70393,10,Peripheral vascular disorders
I70398,10,Peripheral vascular disorders
I70399,10,Peripheral vascular disorders
I704,10,Peripheral vascular disorders
I7040,10,Peripheral vascular disorders
I70401,10,Peripheral vascular disorders
I70402,10,Peripheral vascular disorders
I70403,10,Peripheral vascular disorders
I70408,10,Peripheral vascular disorders
I70409,10,Peripheral vascular disorders
I7041,10,Peripheral vascular disorders
I70411,10,Peripheral vascular disorders
I70412,10,Peripheral vascular disorders
I70413,10,Peripheral vascular disorders
I70418,10,Peripheral vascular disorders
I70419,10,Peripheral vascular disorders
I7042,10,Peripheral vascular disorders
I70421,10,Peripheral vascular disorders
I70422,10,Peripheral vascular disorders
I70423,10,Peripheral vascular disorders
I70428,10,Peripheral vascular disorders
I70429,10,Peripheral vascular disorders
I7043,10,Peripheral vascular disorders
I70431,10,Peripheral vascular disorders
I70432,10,Peripheral vascular disorders
I70433,10,Peripheral vascular disorders
I70434,10,Peripheral vascular disorders
I70435,10,Peripheral vascular disorders
I70438,10,Peripheral vascular disorders
I70439,10,Peripheral vascular disorders
I7044,10,Peripheral vascular disorders
I70441,10,Peripheral vascular disorders
I70442,10,Peripheral vascular disorders
I70443,10,Peripheral vascular disorders
I70444,10,Peripheral vascular disorders
I70445,10,Peripheral vascular disorders
I70448,10,Peripheral vascular disorders
I70449,10,Peripheral vascular disorders
I7045,10,Peripheral vascular disorders
I7046,10,Peripheral vascular disorders
I70461,10,Peripheral vascular disorders
I70462,10,Peripheral vascular disorders
I70463,10,Peripheral vascular disorders
I70468,10,Peripheral vascular disorders
I70469,10,Peripheral vascular disorders
I7049,10,Peripheral vascular disorders
I70491,10,Peripheral vascular disorders
I70492,10,Peripheral vascular disorders
I70493,10,Peripheral vascular disorders
I70498,10,Peripheral vascular disorders
I70499,10,Peripheral vascular disorders
I705,10,Peripheral vascular disorders
I7050,10,Peripheral vascular disorders
I70501,10,Peripheral vascular disorders
I70502,10,Peripheral vascular disorders
I70503,10,Peripheral vascular disorders
I70508,10,Peripheral vascular disorders
I70509,10,Peripheral vascular disorders
I7051,10,Peripheral vascular disorders
I70511,10,Peripheral vascular disorders
I70512,10,Peripheral vascular disorders
I70513,10,Peripheral vascular disorders
I70518,10,Peripheral vascular disorders
I70519,10,Peripheral vascular disorders
I7052,10,Peripheral vascular disorders
I70521,10,Peripheral vascular disorders
I70522,10,Peripheral vascular disorders
I70523,10,Peripheral vascular disorders
I70528,10,Peripheral vascular disorders
I70529,10,Peripheral vascular disorders
I7053,10,Peripheral vascular disorders
I70531,10,Peripheral vascular disorders
I70532,10,Peripheral vascular disorders
I70533,10,Peripheral vascular disorders
I70534,10,Peripheral vascular disorders
I70535,10,Peripheral vascular disorders
I70538,10,Peripheral vascular disorders
I70539,10,Peripheral vascular disorders
I7054,10,Peripheral vascular disorders
I70541,10,Peripheral vascular disorders
I70542,10,Peripheral vascular disorders
I70543,10,Peripheral vascular disorders
I70544,10,Peripheral vascular disorders
I70545,10,Peripheral vascular disorders
I70548,10,Peripheral vascular disorders
I70549,10,Peripheral vascular disorders
I7055,10,Peripheral vascular disorders
I7056,10,Peripheral vascular disorders
I70561,10,Peripheral vascular disorders
I70562,10,Peripheral vascular disorders
I70563,10,Peripheral vascular disorders
I70568,10,Peripheral vascular disorders
I70569,10,Peripheral vascular disorders
I7059,10,Peripheral vascular disorders
I70591,10,Peripheral vascular disorders
I70592,10,Peripheral vascular disorders
I70593,10,Peripheral vascular disorders
I70598,10,Peripheral vascular disorders
I70599,10,Peripheral vascular disorders
I706,10,Peripheral vascular disorders
I7060,10,Peripheral vascular disorders
I70601,10,Peripheral vascular disorders
I70602,10,Peripheral vascular disorders
I70603,10,Peripheral vascular disorders
I70608,10,Peripheral vascular disorders
I70609,10,Peripheral vascular disorders
I7061,10,Peripheral vascular disorders
I70611,10,Peripheral vascular disorders
I70612,10,Peripheral vascular disorders
I70613,10,Peripheral vascular disorders
I70618,10,Peripheral vascular disorders
I70619,10,Peripheral vascular disorders
I7062,10,Peripheral vascular disorders
I70621,10,Peripheral vascular disorders
I70622,10,Peripheral vascular disorders
I70623,10,Peripheral vascular disorders
I70628,10,Peripheral vascular disorders
I70629,10,Peripheral vascular disorders
I7063,10,Peripheral vascular disorders
I70631,10,Peripheral vascular disorders
I70632,10,Peripheral vascular disorders
I70633,10,Peripheral vascular disorders
I70634,10,Peripheral vascular disorders
I70635,10,Peripheral vascular disorders
I70638,10,Peripheral vascular disorders
I70639,10,Peripheral vascular disorders
I7064,10,Peripheral vascular disorders
I70641,10,Peripheral vascular disorders
I70642,10,Peripheral vascular disorders
I70643,10,Peripheral vascular disorders
I70644,10,Peripheral vascular disorders
I70645,10,Peripheral vascular disorders
I70648,10,Peripheral vascular disorders
I70649,10,Peripheral vascular disorders
I7065,10,Peripheral vascular disorders
I7066,10,Peripheral vascular disorders
I70661,10,Peripheral vascular disorders
I70662,10,Peripheral vascular disorders
I70663,10,Peripheral vascular disorders
I70668,10,Peripheral vascular disorders
I70669,10,Peripheral vascular disorders
I7069,10,Peripheral vascular disorders
I70691,10,Peripheral vascular disorders
I70692,10,Peripheral vascular disorders
I70693,10,Peripheral vascular disorders
I70698,10,Peripheral vascular disorders
I70699,10,Peripheral vascular disorders
I707,10,Peripheral vascular disorders
I7070,10,Peripheral vascular disorders
I70701,10,Peripheral vascular disorders
I70702,10,Peripheral vascular disorders
I70703,10,Peripheral vascular disorders
I70708,10,Peripheral vascular disorders
I70709,10,Peripheral vascular disorders
I7071,10,Peripheral vascular disorders
I70711,10,Peripheral vascular disorders
I739,10,Peripheral vascular disorders
I70712,10,Peripheral vascular disorders
I70713,10,Peripheral vascular disorders
I70718,10,Peripheral vascular disorders
I70719,10,Peripheral vascular disorders
I7072,10,Peripheral vascular disorders
I70721,10,Peripheral vascular disorders
I70722,10,Peripheral vascular disorders
I70723,10,Peripheral vascular disorders
I70728,10,Peripheral vascular disorders
I70729,10,Peripheral vascular disorders
I7073,10,Peripheral vascular disorders
I70731,10,Peripheral vascular disorders
I70732,10,Peripheral vascular disorders
I70733,10,Peripheral vascular disorders
I70734,10,Peripheral vascular disorders
I70735,10,Peripheral vascular disorders
I70738,10,Peripheral vascular disorders
I70739,10,Peripheral vascular disorders
I7074,10,Peripheral vascular disorders
I70741,10,Peripheral vascular disorders
I70742,10,Peripheral vascular disorders
I70743,10,Peripheral vascular disorders
I70744,10,Peripheral vascular disorders
I70745,10,Peripheral vascular disorders
I70748,10,Peripheral vascular disorders
I70749,10,Peripheral vascular disorders
I7075,10,Peripheral vascular disorders
I7076,10,Peripheral vascular disorders
I70761,10,Peripheral vascular disorders
I70762,10,Peripheral vascular disorders
I70763,10,Peripheral vascular disorders
I70768,10,Peripheral vascular disorders
I70769,10,Peripheral vascular disorders
I7079,10,Peripheral vascular disorders
I70791,10,Peripheral vascular disorders
I70792,10,Peripheral vascular disorders
I70793,10,Peripheral vascular disorders
I70798,10,Peripheral vascular disorders
I70799,10,Peripheral vascular disorders
I708,10,Peripheral vascular disorders
I709,10,Peripheral vascular disorders
I7090,10,Peripheral vascular disorders
I7091,10,Peripheral vascular disorders
I7092,10,Peripheral vascular disorders
I71,10,Peripheral vascular disorders
I710,10,Peripheral vascular disorders
I7100,10,Peripheral vascular disorders
I7101,10,Peripheral vascular disorders
I7102,10,Peripheral vascular disorders
I7103,10,Peripheral vascular disorders
I711,10,Peripheral vascular disorders
I712,10,Peripheral vascular disorders
I713,10,Peripheral vascular disorders
I714,10,Peripheral vascular disorders
I715,10,Peripheral vascular disorders
I716,10,Peripheral vascular disorders
I718,10,Peripheral vascular disorders
I719,10,Peripheral vascular disorders
I731,10,Peripheral vascular disorders
I738,10,Peripheral vascular disorders
I7381,10,Peripheral vascular disorders
I7389,10,Peripheral vascular disorders
I771,10,Peripheral vascular disorders
I79,10,Peripheral vascular disorders
I790,10,Peripheral vascular disorders
I792,10,Peripheral vascular disorders
K551,10,Peripheral vascular disorders
K558,10,Peripheral vascular disorders
K559,10,Peripheral vascular disorders
Z958,10,Peripheral vascular disorders
Z9581,10,Peripheral vascular disorders
Z95810,10,Peripheral vascular disorders
Z95811,10,Peripheral vascular disorders
Z95812,10,Peripheral vascular disorders
Z95818,10,Peripheral vascular disorders
Z9582,10,Peripheral vascular disorders
Z95820,10,Peripheral vascular disorders
Z95828,10,Peripheral vascular disorders
Z959,10,Peripheral vascular disorders
4010,9,"Hypertension, uncomplicated"
4011,9,"Hypertension, uncomplicated"
4019,9,"Hypertension, uncomplicated"
I10,10,"Hypertension, uncomplicated"
40200,9,"Hypertension, complicated"
40201,9,"Hypertension, complicated"
40210,9,"Hypertension, complicated"
40211,9,"Hypertension, complicated"
40290,9,"Hypertension, complicated"
40291,9,"Hypertension, complicated"
40300,9,"Hypertension, complicated"
40301,9,"Hypertension, complicated"
40310,9,"Hypertension, complicated"
40311,9,"Hypertension, complicated"
40390,9,"Hypertension, complicated"
40391,9,"Hypertension, complicated"
40400,9,"Hypertension, complicated"
40401,9,"Hypertension, complicated"
40402,9,"Hypertension, complicated"
40403,9,"Hypertension, complicated"
40410,9,"Hypertension, complicated"
40411,9,"Hypertension, complicated"
40412,9,"Hypertension, complicated"
40413,9,"Hypertension, complicated"
40490,9,"Hypertension, complicated"
40491,9,"Hypertension, complicated"
40492,9,"Hypertension, complicated"
40493,9,"Hypertension, complicated"
40501,9,"Hypertension, complicated"
40509,9,"Hypertension, complicated"
40511,9,"Hypertension, complicated"
40519,9,"Hypertension, complicated"
40591,9,"Hypertension, complicated"
40599,9,"Hypertension, complicated"
I11,10,"Hypertension, complicated"
I110,10,"Hypertension, complicated"
I119,10,"Hypertension, complicated"
I13,10,"Hypertension, complicated"
I130,10,"Hypertension, complicated"
I131,10,"Hypertension, complicated"
I1310,10,"Hypertension, complicated"
I1311,10,"Hypertension, complicated"
I132,10,"Hypertension, complicated"
I15,10,"Hypertension, complicated"
I150,10,"Hypertension, complicated"
I151,10,"Hypertension, complicated"
I152,10,"Hypertension, complicated"
I158,10,"Hypertension, complicated"
I159,10,"Hypertension, complicated"
3341,9,Paralysis
34200,9,Paralysis
34201,9,Paralysis
34202,9,Paralysis
34210,9,Paralysis
34211,9,Paralysis
34212,9,Paralysis
34280,9,Paralysis
34281,9,Paralysis
34282,9,Paralysis
34290,9,Paralysis
34291,9,Paralysis
34292,9,Paralysis
3430,9,Paralysis
3431,9,Paralysis
3432,9,Paralysis
3433,9,Paralysis
3434,9,Paralysis
3438,9,Paralysis
3439,9,Paralysis
34400,9,Paralysis
34401,9,Paralysis
34402,9,Paralysis
34403,9,Paralysis
34404,9,Paralysis
34409,9,Paralysis
3441,9,Paralysis
3442,9,Paralysis
34430,9,Paralysis
34431,9,Paralysis
34432,9,Paralysis
34440,9,Paralysis
34441,9,Paralysis
34442,9,Paralysis
3445,9,Paralysis
34460,9,Paralysis
34461,9,Paralysis
3449,9,Paralysis
G041,10,Paralysis
G114,10,Paralysis
G801,10,Paralysis
G802,10,Paralysis
G81,10,Paralysis
G810,10,Paralysis
G8100,10,Paralysis
G8101,10,Paralysis
G8102,10,Paralysis
G8103,10,Paralysis
G8104,10,Paralysis
G811,10,Paralysis
G8110,10,Paralysis
G8111,10,Paralysis
G8112,10,Paralysis
G8113,10,Paralysis
G8114,10,Paralysis
G819,10,Paralysis
G8190,10,Paralysis
G8191,10,Paralysis
G8192,10,Paralysis
G8193,10,Paralysis
G8194,10,Paralysis
G82,10,Paralysis
G822,10,Paralysis
G8220,10,Paralysis
G8221,10,Paralysis
G8222,10,Paralysis
G825,10,Paralysis
G8250,10,Paralysis
G8251,10,Paralysis
G8252,10,Paralysis
G8253,10,Paralysis
G8254,10,Paralysis
G831,10,Paralysis
G83,10,Paralysis
G830,10,Paralysis
G8310,10,Paralysis
G8311,10,Paralysis
G8312,10,Paralysis
G8313,10,Paralysis
G8314,10,Paralysis
G832,10,Paralysis
G8320,10,Paralysis
G8321,10,Paralysis
G8322,10,Paralysis
G8323,10,Paralysis
G8324,10,Paralysis
G833,10,Paralysis
G8330,10,Paralysis
G8331,10,Paralysis
G8332,10,Paralysis
G8333,10,Paralysis
G8334,10,Paralysis
G834,10,Paralysis
G839,10,Paralysis
3319,9,Other neurological disorders
3320,9,Other neurological disorders
